input_csv,total_ops,write_count,flush_count,error_count,total_bytes,runtime_us,avg_write_latency_us,avg_flush_latency_us,config,threshold,hot_lines,workload,passengers
p100_sim_input.csv,9527,4841,4686,0,41639936,5225833,1059.59,5.92,baseline,,,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,24188805,1080.49,8.63,baseline,,,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,40558639,1067.52,6.02,baseline,,,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,5485390,1100.91,9.53,th8_hot20,8.0,20.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,23810841,1073.06,5.71,th8_hot20,8.0,20.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,42907908,1114.45,12.42,th8_hot20,8.0,20.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,6455168,1269.75,17.94,th8_hot24,8.0,24.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,31517126,1365.9,22.18,th8_hot24,8.0,24.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,44828428,1164.93,11.6,th8_hot24,8.0,24.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,5366207,1081.24,8.22,th8_hot28,8.0,28.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,23896088,1070.27,7.62,th8_hot28,8.0,28.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,43492050,1125.55,12.89,th8_hot28,8.0,28.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,6342709,1238.67,20.01,th10_hot20,10.0,20.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,27702542,1206.75,21.0,th10_hot20,10.0,20.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,51954627,1316.86,23.1,th10_hot20,10.0,20.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,5589159,1114.47,11.71,th10_hot24,10.0,24.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,25810381,1135.72,13.48,th10_hot24,10.0,24.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,41518923,1084.19,8.87,th10_hot24,10.0,24.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,5334969,1078.86,7.04,th10_hot28,10.0,28.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,23992688,1077.46,6.72,th10_hot28,10.0,28.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,41328656,1083.47,7.47,th10_hot28,10.0,28.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,6916157,1351.15,25.14,th12_hot20,12.0,20.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,32937847,1420.73,25.47,th12_hot20,12.0,20.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,41818687,1088.04,10.38,th12_hot20,12.0,20.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,5640933,1118.86,13.94,th12_hot24,12.0,24.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,25198592,1112.95,12.08,th12_hot24,12.0,24.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,40725416,1067.29,7.64,th12_hot24,12.0,24.0,P1000,1000
p100_sim_input.csv,9527,4841,4686,0,41639936,5240857,1062.54,6.11,th12_hot28,12.0,28.0,P100,100
p500_sim_input.csv,42409,21800,20609,0,187506688,23748183,1067.17,6.37,th12_hot28,12.0,28.0,P500,500
p1000_sim_input.csv,71639,37335,34304,0,322093056,41952805,1090.39,10.54,th12_hot28,12.0,28.0,P1000,1000
