seq,reason,host_write_ops,host_read_ops,host_flush_ops,host_dsm_ops,host_write_secs,host_write_pages,host_prog_pages,gc_prog_pages,nand_prog_pages,waf,gc_overhead,gc_calls,gc_success,gc_no_victim,nand_erase_blocks,hot_host_prog_pages,cold_host_prog_pages,hot_gc_prog_pages,cold_gc_prog_pages,free_lines,victim_lines,full_lines,hot_free_lines,cold_free_lines,config,threshold,hot_lines,gc_program_pages_change_pct,waf_change_pct
8,idle,63976,298,0,0,1076640,134580,134580,2628,137208,1.019527,0.019527,35,35,0,280,0,0,0,0,12,31,0,0,0,baseline,,,0.0,0.0
8,idle,63976,301,0,0,1076640,134580,134580,3137,137717,1.02331,0.02331,37,37,0,296,100434,34146,3111,26,13,29,0,2,11,th8_hot20,8.0,20.0,19.368340943683403,0.37105442033411595
8,idle,63976,301,0,0,1076640,134580,134580,2138,136718,1.015886,0.015886,35,35,0,280,100434,34146,1864,274,12,30,0,3,9,th8_hot24,8.0,24.0,-18.64535768645358,-0.3571263929253443
7,idle,63976,301,0,0,1076640,134580,134580,2138,136718,1.015886,0.015886,35,35,0,280,100434,34146,1864,274,12,30,0,7,5,th8_hot28,8.0,28.0,-18.64535768645358,-0.3571263929253443
8,idle,63976,301,0,0,1076640,134580,134580,3026,137606,1.022485,0.022485,37,37,0,296,92866,41714,2642,384,13,29,0,2,11,th10_hot20,10.0,20.0,15.144596651445962,0.2901345427830826
8,idle,63976,301,0,0,1076640,134580,134580,2332,136912,1.017328,0.017328,36,36,0,288,92866,41714,2012,320,12,30,0,5,7,th10_hot24,10.0,24.0,-11.263318112633181,-0.21568825543610837
8,idle,63976,301,0,0,1076640,134580,134580,2332,136912,1.017328,0.017328,36,36,0,288,92866,41714,2012,320,12,30,0,9,3,th10_hot28,10.0,28.0,-11.263318112633181,-0.21568825543610837
8,idle,63976,301,0,0,1076640,134580,134580,3026,137606,1.022485,0.022485,37,37,0,296,92866,41714,2642,384,13,29,0,2,11,th12_hot20,12.0,20.0,15.144596651445962,0.2901345427830826
8,idle,63976,301,0,0,1076640,134580,134580,2428,137008,1.018041,0.018041,36,36,0,288,85338,49242,1662,766,12,30,0,4,8,th12_hot24,12.0,24.0,-7.610350076103501,-0.14575386429197534
8,idle,63976,301,0,0,1076640,134580,134580,2198,136778,1.016332,0.016332,36,36,0,288,85338,49242,1386,812,12,30,0,7,5,th12_hot28,12.0,28.0,-16.362252663622524,-0.31338061669774486
