input_csv,total_ops,write_count,flush_count,error_count,total_bytes,runtime_us,avg_write_latency_us,avg_flush_latency_us,config,threshold,hot_lines,workload,passengers,baseline_runtime_us,baseline_avg_write_latency_us,baseline_avg_flush_latency_us,normalized_runtime,normalized_write_latency,runtime_change_pct,write_latency_change_pct
p100_sim_input.csv,9527,4841,4686,0,41639936,5485390,1100.91,9.53,th8_hot20,8.0,20.0,P100,100,5225833,1059.59,5.92,1.0496680624887937,1.038996215517323,4.966806248879374,3.8996215517322907
p500_sim_input.csv,42409,21800,20609,0,187506688,23810841,1073.06,5.71,th8_hot20,8.0,20.0,P500,500,24188805,1080.49,8.63,0.9843744244496576,0.9931234902683042,-1.5625575550342385,-0.6876509731695846
p1000_sim_input.csv,71639,37335,34304,0,322093056,42907908,1114.45,12.42,th8_hot20,8.0,20.0,P1000,1000,40558639,1067.52,6.02,1.057922776945252,1.0439617056354917,5.792277694525194,4.396170563549173
p100_sim_input.csv,9527,4841,4686,0,41639936,6455168,1269.75,17.94,th8_hot24,8.0,24.0,P100,100,5225833,1059.59,5.92,1.2352419221969013,1.198340867694108,23.524192219690132,19.83408676941081
p500_sim_input.csv,42409,21800,20609,0,187506688,31517126,1365.9,22.18,th8_hot24,8.0,24.0,P500,500,24188805,1080.49,8.63,1.3029633336578637,1.2641486732871199,30.296333365786367,26.41486732871199
p1000_sim_input.csv,71639,37335,34304,0,322093056,44828428,1164.93,11.6,th8_hot24,8.0,24.0,P1000,1000,40558639,1067.52,6.02,1.1052744644611965,1.0912488758992807,10.527446446119647,9.124887589928065
p100_sim_input.csv,9527,4841,4686,0,41639936,5366207,1081.24,8.22,th8_hot28,8.0,28.0,P100,100,5225833,1059.59,5.92,1.0268615548946933,1.02043243141215,2.686155489469333,2.043243141215001
p500_sim_input.csv,42409,21800,20609,0,187506688,23896088,1070.27,7.62,th8_hot28,8.0,28.0,P500,500,24188805,1080.49,8.63,0.9878986580775694,0.9905413284713417,-1.210134192243062,-0.9458671528658313
p1000_sim_input.csv,71639,37335,34304,0,322093056,43492050,1125.55,12.89,th8_hot28,8.0,28.0,P1000,1000,40558639,1067.52,6.02,1.072325183298187,1.0543596372901678,7.232518329818705,5.4359637290167795
p100_sim_input.csv,9527,4841,4686,0,41639936,6342709,1238.67,20.01,th10_hot20,10.0,20.0,P100,100,5225833,1059.59,5.92,1.2137220994241493,1.1690087675421628,21.372209942414933,16.900876754216277
p500_sim_input.csv,42409,21800,20609,0,187506688,27702542,1206.75,21.0,th10_hot20,10.0,20.0,P500,500,24188805,1080.49,8.63,1.1452629429192553,1.1168543901378079,14.526294291925534,11.685439013780785
p1000_sim_input.csv,71639,37335,34304,0,322093056,51954627,1316.86,23.1,th10_hot20,10.0,20.0,P1000,1000,40558639,1067.52,6.02,1.2809756017700693,1.2335693944844124,28.09756017700693,23.35693944844124
p100_sim_input.csv,9527,4841,4686,0,41639936,5589159,1114.47,11.71,th10_hot24,10.0,24.0,P100,100,5225833,1059.59,5.92,1.069524992474884,1.0517936182863183,6.952499247488397,5.179361828631834
p500_sim_input.csv,42409,21800,20609,0,187506688,25810381,1135.72,13.48,th10_hot24,10.0,24.0,P500,500,24188805,1080.49,8.63,1.0670382848594628,1.0511156975076124,6.703828485946284,5.111569750761236
p1000_sim_input.csv,71639,37335,34304,0,322093056,41518923,1084.19,8.87,th10_hot24,10.0,24.0,P1000,1000,40558639,1067.52,6.02,1.0236764354938044,1.0156156324940049,2.367643549380438,1.5615632494004883
p100_sim_input.csv,9527,4841,4686,0,41639936,5334969,1078.86,7.04,th10_hot28,10.0,28.0,P100,100,5225833,1059.59,5.92,1.0208839432871277,1.0181862795987127,2.0883943287127726,1.8186279598712662
p500_sim_input.csv,42409,21800,20609,0,187506688,23992688,1077.46,6.72,th10_hot28,10.0,28.0,P500,500,24188805,1080.49,8.63,0.9918922410594487,0.9971957167581376,-0.8107758940551268,-0.28042832418624375
